github.com/gdamore/encoding,https://github.com/gdamore/encoding/blob/v1.0.1/LICENSE,Apache-2.0
github.com/gdamore/tcell/v2,https://github.com/gdamore/tcell/blob/v2.8.1/LICENSE,Apache-2.0
github.com/jessevdk/go-flags,https://github.com/jessevdk/go-flags/blob/v1.6.1/LICENSE,BSD-3-Clause
github.com/lucasb-eyer/go-colorful,https://github.com/lucasb-eyer/go-colorful/blob/v1.2.0/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.16/LICENSE,MIT
github.com/rivo/uniseg,https://github.com/rivo/uniseg/blob/v0.4.7/LICENSE.txt,MIT
github.com/yoshi389111/pong-is-not-ping/cmd/pong,https://github.com/yoshi389111/pong-is-not-ping/blob/HEAD/LICENSE,MIT
golang.org/x/sys/unix,https://cs.opensource.google/go/x/sys/+/v0.31.0:LICENSE,BSD-3-Clause
golang.org/x/term,https://cs.opensource.google/go/x/term/+/v0.30.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.23.0:LICENSE,BSD-3-Clause
